Identifier,Label,Category,Locality,Postal Code,Latitude,Longitude
5058507,Site d'escalade de la Goulette,SportsAndLeisurePlace,Lajoux,39310,46.367279,5.984624
5588962,Grande balade de la Chapelle de Montempuy,SportsAndLeisurePlace,Saint-Parize-en-Viry,58300,46.752422,3.355297
4934201,"Mâcon, Cité de Lamartine",CulturalSite,Mâcon,71000,46.30348,4.832142
6494810,PR 33 : Chemin de la Brigandière,SportsAndLeisurePlace,Dornes,58390,46.709269,3.323168
4866645,Chapelle de Montempuy,CulturalSite,,,46.75165,3.367821
6757230,Le Fort des Rousses,SportsAndLeisurePlace,Les Rousses,39220,46.479385,6.054921
5995176,Via Allier à vélo - Étape 01 - Nevers > Sancoins,SportsAndLeisurePlace,Nevers,58000,46.984968,3.157915
6360300,"Commando Games, Les Rousses",SportsAndLeisurePlace,Les Rousses,39220,46.509638,6.077065
6473333,Espace des Mondes Polaires,SportsAndLeisurePlace,Prémanon,39220,46.460834,6.02936
5109184,Église Saint-Julien,CulturalSite,Dornes,58390,46.715023,3.352636
PCUCHA052V50074B,CHATEAU D'OUGE,CulturalSite,Ouge,70500,47.796627,5.705157
PCUCHA052V50074E,CROIX-ORATOIRE A OUGE,CulturalSite,Ouge,70500,47.808867,5.760193
PCUCHA052V500AO2,STATUE DE LA VIERGE MARIE A LA ROCHELLE,CulturalSite,La Rochelle,70120,47.7460547,5.73314142
PCUCHA052V500BJJ,EGLISE SAINT-GILBERT DE LA QUARTE,CulturalSite,La Quarte,70120,47.7731196,5.69704238
PNACHA052V5003RX,PARC ET JARDINS DU CHATEAU D'OUGE,CulturalSite,Ouge,70500,47.796363,5.705259
PCUCHA052V500AOA,ORATOIRE SAINT FERREOL ET SAINT FERJEUX  A LA ROCHELLE,CulturalSite,La Rochelle,70120,47.7475809,5.73360642
PCUCHA052V50074I,EGLISE SAINT-REMI DE OUGE,CulturalSite,Ouge,70500,47.7966251,5.70415869
PCUCHA052V500ANN,CHAPELLE DE SAINT CLAUDE A LA ROCHELLE,CulturalSite,La Rochelle,70120,47.7463531,5.73065122
PCUCHA052V500AO0,FONTAINE-LAVOIR DITE DU CHATEAU A LA ROCHELLE,CulturalSite,,,47.7458165,5.73291073
PCUCHA052V50074F,CROIX A OUGE (1),CulturalSite,Ouge,70500,47.8001743,5.70256336
PCUCHA052V500AO3,FONTAINE RONDE A LA ROCHELLE (1),CulturalSite,,,47.7463099,5.73081752
PCUCHA052V50074D,CROIX SAINT VINARD A OUGE,CulturalSite,Ouge,70500,47.793917,5.69894
PCUCHA052V50074C,"CROIX DITE ""CROIX LAMBERT"" A OUGE",CulturalSite,Ouge,70500,47.807066,5.71019
PCUCHA052V500AO8,LAVOIR RECTANGULAIRE A LA ROCHELLE (1),CulturalSite,La Rochelle,70120,47.74697,5.730564
PCUCHA052V500AW7,MUSÉE DEPARTEMENTAL ALBERT ET FELICIE DEMARD,CulturalSite,Champlitte,70600,47.6521273,5.6721397
PCUCHA052V500AOB,CHATEAU DE LA ROCHELLE,CulturalSite,La Rochelle,70120,47.7458803,5.73195151
