label,category,locality,postal_code,latitude,longitude,ville_proche
Site d'escalade de la Goulette,SportsAndLeisurePlace,Lajoux,39310,46.367279,5.984624,94
Grande balade de la Chapelle de Montempuy,SportsAndLeisurePlace,Saint-Parize-en-Viry,58300,46.752422,3.355297,101
"Mâcon, Cité de Lamartine",CulturalSite,Mâcon,71000,46.30348,4.832142,151
PR 33 : Chemin de la Brigandière,SportsAndLeisurePlace,Dornes,58390,46.709269,3.323168,101
Le Fort des Rousses,SportsAndLeisurePlace,Les Rousses,39220,46.479385,6.054921,92
Via Allier à vélo - Étape 01 - Nevers > Sancoins,SportsAndLeisurePlace,Nevers,58000,46.984968,3.157915,108
"Commando Games, Les Rousses",SportsAndLeisurePlace,Les Rousses,39220,46.509638,6.077065,92
Espace des Mondes Polaires,SportsAndLeisurePlace,Prémanon,39220,46.460834,6.02936,92
Église Saint-Julien,CulturalSite,Dornes,58390,46.715023,3.352636,101
CHATEAU D'OUGE,CulturalSite,Ouge,70500,47.796627,5.705157,120
CROIX-ORATOIRE A OUGE,CulturalSite,Ouge,70500,47.808867,5.760193,120
STATUE DE LA VIERGE MARIE A LA ROCHELLE,CulturalSite,La Rochelle,70120,47.7460547,5.73314142,120
EGLISE SAINT-GILBERT DE LA QUARTE,CulturalSite,La Quarte,70120,47.7731196,5.69704238,112
PARC ET JARDINS DU CHATEAU D'OUGE,CulturalSite,Ouge,70500,47.796363,5.705259,120
ORATOIRE SAINT FERREOL ET SAINT FERJEUX  A LA ROCHELLE,CulturalSite,La Rochelle,70120,47.7475809,5.73360642,120
EGLISE SAINT-REMI DE OUGE,CulturalSite,Ouge,70500,47.7966251,5.70415869,120
CHAPELLE DE SAINT CLAUDE A LA ROCHELLE,CulturalSite,La Rochelle,70120,47.7463531,5.73065122,120
FONTAINE-LAVOIR DITE DU CHATEAU A LA ROCHELLE,CulturalSite,La Rochelle,70120,47.7458165,5.73291073,120
CROIX A OUGE (1),CulturalSite,Ouge,70500,47.8001743,5.70256336,120
FONTAINE RONDE A LA ROCHELLE (1),CulturalSite,La Rochelle,70120,47.7463099,5.73081752,120
CROIX SAINT VINARD A OUGE,CulturalSite,Ouge,70500,47.793917,5.69894,112
"CROIX DITE ""CROIX LAMBERT"" A OUGE",CulturalSite,Ouge,70500,47.807066,5.71019,120
LAVOIR RECTANGULAIRE A LA ROCHELLE (1),CulturalSite,La Rochelle,70120,47.74697,5.730564,120
MUSÉE DEPARTEMENTAL ALBERT ET FELICIE DEMARD,CulturalSite,Champlitte,70600,47.6521273,5.6721397,112
CHATEAU DE LA ROCHELLE,CulturalSite,La Rochelle,70120,47.7458803,5.73195151,120
FONTAINE RONDE A LA ROCHELLE (2),CulturalSite,La Rochelle,70120,47.7470358,5.7319076,120
LAVOIR RECTANGULAIRE A LA ROCHELLE (2),CulturalSite,La Rochelle,70120,47.7460384,5.733055,120
CROIX A OUGE (2),CulturalSite,Ouge,70500,47.7944243,5.70257129,112
CROIX A OUGE (3),CulturalSite,Ouge,70500,47.7950262,5.70484582,120
MUSEE DES OUTILS D'HIER A CHAUVIREY-LE-VIEIL,CulturalSite,Chauvirey-le-Vieil,70500,47.785341,5.757389,120
Parc du Château de Drée,CulturalSite,Curbigny,71800,46.320872,4.3094849,139
Bibliothèque-Médiathèque,CulturalSite,Semur-en-Auxois,21140,47.4902,4.33675,24
"Loc Val de Loire, Point de location-dépôt",SportsAndLeisurePlace,Nevers,58000,46.981255,3.159873,108
Emaux Créations,CulturalSite,Vézelay,89450,47.4651807,3.74495209,169
Église notre-Dame de Martrois,CulturalSite,Martrois,21320,47.3106871,4.53781946,29
Comité Départemental de Vol en Planeur de l'Yonne,SportsAndLeisurePlace,Paron,89100,48.178053,3.250624,180
Cinéode - cinécomté,SportsAndLeisurePlace,Poligny,39800,46.83635,5.70289,91
Le village des écureuils,SportsAndLeisurePlace,Clairvaux-les-Lacs,39130,46.5604607,5.76209952,88
Ludolac,SportsAndLeisurePlace,Vaivre-et-Montoille,70000,47.6314456,6.12238883,124
Eglise Saint-Gilles,CulturalSite,Saint-Gilles,71510,46.87887,4.66313,132
L'Atelier Sauvage,CulturalSite,Landresse,25530,47.252377,6.5046,60
Cabottine,CulturalSite,Semur-en-Auxois,21140,47.4909093,4.33213,24
Industrie Le Chat - Le Textile Indémaillable,CulturalSite,Chauffailles,71170,46.20875,4.3361322,139
Cpie bresse jura,SportsAndLeisurePlace,Sellières,39230,46.8236517,5.56197459,91
Village de Savigny-lès-Beaune,CulturalSite,Savigny-lès-Beaune,21420,47.0632328,4.8174982,3
"Randonneurs du Bazois ""Traîne-Savates""",SportsAndLeisurePlace,Châtillon-en-Bazois,58110,47.05235,3.65599,106
Piscine intercommunale des 7 Chevaux,SportsAndLeisurePlace,Luxeuil-les-Bains,70300,47.8106183,6.35584831,119
Église de la Nativité,CulturalSite,Cussy-le-Châtel,21230,47.1647792,4.58365911,146
Fontaine des Bougers,Landform,Raveau,58400,47.193989,3.095251,97
Médiathèque de Chassal-Molinges,CulturalSite,Saint-Claude,39360,46.3540326,5.7666941,86
Abbaye de Luxeuil (Ancienne Abbaye St Colomban),CulturalSite,Luxeuil-les-Bains,70300,47.81707,6.380367,119
Les Marteaux de Mailley,SportsAndLeisurePlace,Mailley-et-Chazelot,70000,47.5396309,6.05383673,124
Circuit privatisé journée - Côte de Beaune et Côte de Nuits,SportsAndLeisurePlace,Dijon,21000,47.322982,5.041742,8
Eglise Saint-Sébastien de La Chapelle Vaupelteigne,CulturalSite,La Chapelle-Vaupelteigne,89800,47.844888,3.7642537,171
Marais des Brosses,Landform,Recey-sur-Ource,21290,47.78031,4.861789,5
Les Couloirs du Temps - La Clé du Bastion,SportsAndLeisurePlace,Belfort,90000,47.63964,6.86498,193
Truffière et parcours pédagogique du Pays Seine-et-Tilles,CulturalSite,Is-sur-Tille,21120,47.522464,5.100266,12
Musée Histoire et Culture des Sourds,CulturalSite,Louhans,71500,46.628955,5.225489,150
La Ferme Aquacole de Crisenon,SportsAndLeisurePlace,Prégilbert,89460,47.640818,3.6581184,168
Pêche au Lac de la faïencerie,SportsAndLeisurePlace,Rioz,70190,47.425622,6.0731134,121
Au Lotus blanc - Massages  Ayurvédique,SportsAndLeisurePlace,Longchaumois,39400,46.4766796,5.95646892,85
La Forge d'Eloi,CulturalSite,Blanot,71250,46.472726,4.736567,141
1.2.3 Jouons,SportsAndLeisurePlace,Champforgeuil,71530,46.8235387,4.83640779,134
Isabelle MININI,CulturalSite,Dijon,21000,47.3228094,5.0441218,8
Caveau Saint-Felix,SportsAndLeisurePlace,Beaune,21200,47.0226659,4.8348988,3
Bourgogne Montgolfière,SportsAndLeisurePlace,Moroges,71390,46.748591,4.680403,131
Attelage Beaune Passion,SportsAndLeisurePlace,Beaune,21200,47.0194497,4.8542083,3
Dynamiques Positives,SportsAndLeisurePlace,Levernois,21200,46.9926258,4.8824445,3
Mba section aca (athletisme),SportsAndLeisurePlace,Audincourt,25400,47.4971964,6.8136478,56
Site du Montgué,CulturalSite,Asnan,58420,47.309038,3.554236,98
Piscine de Poligny,SportsAndLeisurePlace,Poligny,39800,46.8319686,5.70736591,91
Maison Régionale des Arts de la Table,CulturalSite,Arnay-le-Duc,21230,47.1344613,4.48522065,146
