label,category,latitude,longitude,commune_proche
Site d'escalade de la Goulette,SportsAndLeisurePlace,46.367279,5.984624,Jougne
Grande balade de la Chapelle de Montempuy,SportsAndLeisurePlace,46.752422,3.355297,Jougne
"Mâcon, Cité de Lamartine",CulturalSite,46.30348,4.832142,Jougne
PR 33 : Chemin de la Brigandière,SportsAndLeisurePlace,46.709269,3.323168,Jougne
Chapelle de Montempuy,CulturalSite,46.75165,3.367821,Jougne
Le Fort des Rousses,SportsAndLeisurePlace,46.479385,6.054921,Jougne
Via Allier à vélo - Étape 01 - Nevers > Sancoins,SportsAndLeisurePlace,46.984968,3.157915,Jougne
"Commando Games, Les Rousses",SportsAndLeisurePlace,46.509638,6.077065,Jougne
Espace des Mondes Polaires,SportsAndLeisurePlace,46.460834,6.02936,Jougne
Église Saint-Julien,CulturalSite,46.715023,3.352636,Jougne
CHATEAU D'OUGE,CulturalSite,47.796627,5.705157,Damprichard
CROIX-ORATOIRE A OUGE,CulturalSite,47.808867,5.760193,Damprichard
STATUE DE LA VIERGE MARIE A LA ROCHELLE,CulturalSite,47.7460547,5.73314142,Damprichard
EGLISE SAINT-GILBERT DE LA QUARTE,CulturalSite,47.7731196,5.69704238,Damprichard
PARC ET JARDINS DU CHATEAU D'OUGE,CulturalSite,47.796363,5.705259,Damprichard
ORATOIRE SAINT FERREOL ET SAINT FERJEUX  A LA ROCHELLE,CulturalSite,47.7475809,5.73360642,Damprichard
EGLISE SAINT-REMI DE OUGE,CulturalSite,47.7966251,5.70415869,Damprichard
CHAPELLE DE SAINT CLAUDE A LA ROCHELLE,CulturalSite,47.7463531,5.73065122,Damprichard
FONTAINE-LAVOIR DITE DU CHATEAU A LA ROCHELLE,CulturalSite,47.7458165,5.73291073,Damprichard
CROIX A OUGE (1),CulturalSite,47.8001743,5.70256336,Damprichard
FONTAINE RONDE A LA ROCHELLE (1),CulturalSite,47.7463099,5.73081752,Damprichard
CROIX SAINT VINARD A OUGE,CulturalSite,47.793917,5.69894,Damprichard
"CROIX DITE ""CROIX LAMBERT"" A OUGE",CulturalSite,47.807066,5.71019,Damprichard
LAVOIR RECTANGULAIRE A LA ROCHELLE (1),CulturalSite,47.74697,5.730564,Damprichard
MUSÉE DEPARTEMENTAL ALBERT ET FELICIE DEMARD,CulturalSite,47.6521273,5.6721397,Damprichard
CHATEAU DE LA ROCHELLE,CulturalSite,47.7458803,5.73195151,Damprichard
FONTAINE RONDE A LA ROCHELLE (2),CulturalSite,47.7470358,5.7319076,Damprichard
LAVOIR RECTANGULAIRE A LA ROCHELLE (2),CulturalSite,47.7460384,5.733055,Damprichard
CROIX A OUGE (2),CulturalSite,47.7944243,5.70257129,Damprichard
CROIX A OUGE (3),CulturalSite,47.7950262,5.70484582,Damprichard
MUSEE DES OUTILS D'HIER A CHAUVIREY-LE-VIEIL,CulturalSite,47.785341,5.757389,Damprichard
Parc du Château de Drée,CulturalSite,46.320872,4.3094849,Jougne
Bibliothèque-Médiathèque,CulturalSite,47.4902,4.33675,Jougne
"Loc Val de Loire, Point de location-dépôt",SportsAndLeisurePlace,46.981255,3.159873,Jougne
Emaux Créations,CulturalSite,47.4651807,3.74495209,Jougne
Église notre-Dame de Martrois,CulturalSite,47.3106871,4.53781946,Jougne
Comité Départemental de Vol en Planeur de l'Yonne,SportsAndLeisurePlace,48.178053,3.250624,Jougne
Cinéode - cinécomté,SportsAndLeisurePlace,46.83635,5.70289,Jougne
Le village des écureuils,SportsAndLeisurePlace,46.5604607,5.76209952,Jougne
Ludolac,SportsAndLeisurePlace,47.6314456,6.12238883,Damprichard
Eglise Saint-Gilles,CulturalSite,46.87887,4.66313,Jougne
L'Atelier Sauvage,CulturalSite,47.252377,6.5046,Damprichard
Cabottine,CulturalSite,47.4909093,4.33213,Jougne
Industrie Le Chat - Le Textile Indémaillable,CulturalSite,46.20875,4.3361322,Jougne
Cpie bresse jura,SportsAndLeisurePlace,46.8236517,5.56197459,Jougne
Village de Savigny-lès-Beaune,CulturalSite,47.0632328,4.8174982,Jougne
"Randonneurs du Bazois ""Traîne-Savates""",SportsAndLeisurePlace,47.05235,3.65599,Jougne
Piscine intercommunale des 7 Chevaux,SportsAndLeisurePlace,47.8106183,6.35584831,Damprichard
Église de la Nativité,CulturalSite,47.1647792,4.58365911,Jougne
Fontaine des Bougers,Landform,47.193989,3.095251,Jougne
Médiathèque de Chassal-Molinges,CulturalSite,46.3540326,5.7666941,Jougne
Abbaye de Luxeuil (Ancienne Abbaye St Colomban),CulturalSite,47.81707,6.380367,Damprichard
Les Marteaux de Mailley,SportsAndLeisurePlace,47.5396309,6.05383673,Damprichard
Circuit privatisé journée - Côte de Beaune et Côte de Nuits,SportsAndLeisurePlace,47.322982,5.041742,Jougne
Eglise Saint-Sébastien de La Chapelle Vaupelteigne,CulturalSite,47.844888,3.7642537,Jougne
Marais des Brosses,Landform,47.78031,4.861789,Jougne
Les Couloirs du Temps - La Clé du Bastion,SportsAndLeisurePlace,47.63964,6.86498,Damprichard
Truffière et parcours pédagogique du Pays Seine-et-Tilles,CulturalSite,47.522464,5.100266,Jougne
Musée Histoire et Culture des Sourds,CulturalSite,46.628955,5.225489,Jougne
La Ferme Aquacole de Crisenon,SportsAndLeisurePlace,47.640818,3.6581184,Jougne
Pêche au Lac de la faïencerie,SportsAndLeisurePlace,47.425622,6.0731134,Damprichard
Au Lotus blanc - Massages  Ayurvédique,SportsAndLeisurePlace,46.4766796,5.95646892,Jougne
La Forge d'Eloi,CulturalSite,46.472726,4.736567,Jougne
1.2.3 Jouons,SportsAndLeisurePlace,46.8235387,4.83640779,Jougne
Isabelle MININI,CulturalSite,47.3228094,5.0441218,Jougne
Caveau Saint-Felix,SportsAndLeisurePlace,47.0226659,4.8348988,Jougne
Bourgogne Montgolfière,SportsAndLeisurePlace,46.748591,4.680403,Jougne
Attelage Beaune Passion,SportsAndLeisurePlace,47.0194497,4.8542083,Jougne
Dynamiques Positives,SportsAndLeisurePlace,46.9926258,4.8824445,Jougne
Mba section aca (athletisme),SportsAndLeisurePlace,47.4971964,6.8136478,Damprichard
Site du Montgué,CulturalSite,47.309038,3.554236,Jougne
Piscine de Poligny,SportsAndLeisurePlace,46.8319686,5.70736591,Jougne
Maison Régionale des Arts de la Table,CulturalSite,47.1344613,4.48522065,Jougne
"Velovitamine - Balade Oenologique à vélo ""Côte de Nuits 1er Cru"" Dijon à Gevrey-Chambertin",SportsAndLeisurePlace,47.2935893,5.0010864,Jougne
PORTRAITS D’ARCHITECTES : Claude-Antoine Colombot (1747-1821),SportsAndLeisurePlace,47.23507,6.02606,Damprichard
A Tour de Roues,SportsAndLeisurePlace,46.9014235,5.7708211,Jougne
Médiathèque intercommunale,CulturalSite,46.801642,5.45301799,Jougne
La Calèche de Clem,SportsAndLeisurePlace,47.6953151,3.9957636,Jougne
"Balades sonores : Vauban, ses fortifications, sa Citadelle",SportsAndLeisurePlace,47.2431592,6.0189455,Damprichard
Base nautique du Vézenay,SportsAndLeisurePlace,46.8079029,6.30977568,Damprichard
KANWITA - Ateliers et sorties Nature au coeur de la forêt,SportsAndLeisurePlace,46.23116,4.33033,Jougne
