label,category,locality,postal_code,latitude,longitude
L'Atelier Sauvage,CulturalSite,Landresse,25530,47.252377,6.5046
Point de vue du Fort Malher,Landform,La Cluse-et-Mijoux,25300,46.8763281,6.37801408
Point de vue de Renédale,Landform,Renédale,25520,47.0205244,6.27915181
Andréas corso - art cuir design,CulturalSite,Rouhe,25440,47.0822849,5.9615546
Médiathèque Intercommunale de la Vallée du Drugeon,CulturalSite,Frasne,25560,46.8569357,6.1610852
Poterie les mains et la terre,CulturalSite,Bief,25190,47.32627,6.76724
Chapelle des Forges-de-la-Ferrière,CulturalSite,Jougne,25370,46.746564,6.38111359
Le Chemin des Sens - Art et artisanat d'art,CulturalSite,Besançon,25000,47.23592,6.02173072
Techni-Café,CulturalSite,Devecey,25870,47.3304712,6.0164738
Castel Saint-Denis,CulturalSite,Scey-Maisières,25290,47.09563,6.08213
Sentier Botanique de Rurey,Landform,Rurey,25290,47.095478,6.009653
Histopad de la Saline royale,CulturalSite,Arc-et-Senans,25610,47.03148,5.77808
Eglise,CulturalSite,Saules,25580,47.1221869,6.197913
Saule en Fa,CulturalSite,Pontarlier,25300,46.90578,6.35404
Hopital Saint-Jacques,CulturalSite,Besançon,25000,47.2356406,6.02129101
La Basse Cour,CulturalSite,Baume-les-Dames,25110,47.3379189,6.3534798
État de siège,CulturalSite,Ornans,25290,47.1053673,6.14559945
Chapelle Notre-Dame de Lourdes,CulturalSite,Montperreux,25160,46.825355,6.341902
Maison du patrimoine et des forges,CulturalSite,Audincourt,25400,47.486678,6.83230238
SurmontouR - Rémi Steiner,CulturalSite,Grandfontaine,25320,47.20065,5.89389
Belvédère du Fourré,Landform,Valentigney,25700,47.4623141,6.81867429
Étang du Cougnet,Landform,Gilley,25650,47.0647537,6.50584533
Chapelle Sainte-Radegonde,CulturalSite,Vennes,25390,47.1594703,6.52807724
Moka Céramique,CulturalSite,Besançon,25000,47.2349884,6.0317802
Lac de Saint-Point,Landform,Malbuisson,25160,46.8105167,6.30855558
Ancienne tuilerie,CulturalSite,Malbrans,25620,47.120538,6.080704
Le Siège de Vauban - Carole Josso,CulturalSite,Besançon,25000,47.2423508,6.01758049
Église saint jacques,CulturalSite,Chaux-Neuve,25240,46.6805036,6.13202787
Anne-Lise Hammann Jeannot artiste peintre,CulturalSite,Franois,25770,47.2319,5.92287
Fonds Régional d'Art Contemporain,CulturalSite,Besançon,25000,47.2359841,6.03341546
Marie Claude Bastien - atelier de reliures,CulturalSite,Besançon,25000,47.2358,6.02522
Belvédère la Roche de Ruan,Landform,Maîche,25120,47.2558063,6.81654316
ENS - Le Pré-Bois des Bâties,Landform,Mouthe,25240,46.6796248,6.18799891
Médiathèque municipale de Pontarlier,CulturalSite,Pontarlier,25300,46.903862,6.35425729
Atelier de typographie Æncrages & co,CulturalSite,Baume-les-Dames,25110,47.351682,6.361033
Maison natale de Balthazar Gerard,CulturalSite,Vuillafans,25840,47.064357,6.212548
Le Vert Clair,CulturalSite,Les Hôpitaux-Neufs,25370,46.7762377,6.3680807
Chapelle de la Vierge immaculée,CulturalSite,Houtaud,25300,46.91659,6.30722
Musée Bost et de l'outil,CulturalSite,Laissey,25820,47.2978304,6.2325079
Le saut de Bonneille,Landform,Ornans,25290,47.0549174,6.12154392
Maison du Patrimoine,CulturalSite,Remoray-Boujeons,25160,46.7684332,6.23967146
"Le 19, Centre Regional d'Art Contemporain",CulturalSite,Montbéliard,25200,47.5106281,6.80055855
Temple Saint-Georges,CulturalSite,Montbéliard,25200,47.5092706,6.79162129
Cascade du Moulin de Vermondans,Landform,Plaimbois-Vennes,25390,47.1925685,6.55654024
Chapelle Notre-Dame du Refuge,CulturalSite,Besançon,25000,47.2357061,6.021291
Les artistes à la campagne,CulturalSite,Champlive,25360,47.2721383,6.2383261
Bibliothèque,CulturalSite,Maisons-du-Bois-Lièvremont,25650,46.96651,6.42033
Usine à Neige,CulturalSite,Métabief,25370,46.7707368,6.3529618
Oratoire Notre-Dame de la Salette,CulturalSite,Doubs,25300,46.92831,6.35152
L'Artisaloue,CulturalSite,Ornans,25290,47.1063,6.14698
Atelier de lutherie - Marc Boyadjian,CulturalSite,Pontarlier,25300,46.90372,6.35587
Hôpital Sainte-Croix et son apothicairerie,CulturalSite,Baume-les-Dames,25110,47.352791,6.358576
Médiathèque,CulturalSite,Métabief,25370,46.77331,6.34946
Sapin Président,Landform,Les Fourgs,25300,46.8195798,6.41580676
Bibliothèque municipale,CulturalSite,Arc-et-Senans,25610,47.033553,5.783943
Belvédère la Cendrée,Landform,Charquemont,25140,47.185528,6.84296627
Horloge Astronomique,CulturalSite,Besançon,25000,47.2336737,6.03101134
ENS - La basse Vallée de l'Allan,Landform,Brognard,25600,47.5215418,6.86916579
Belvédère de Mandeure,Landform,Mandeure,25350,47.4308538,6.7956717
Mont-Calvaire de Sombacour,CulturalSite,Bians-les-Usiers,25520,46.9486743,6.2609354
La Batterie des Roches,CulturalSite,Pont-de-Roide-Vermondans,25150,47.3737748,6.77990172
Château de Moncley,CulturalSite,Moncley,25170,47.3117121,5.88775127
Espace musée Sainte-Madeleine,CulturalSite,Besançon,25000,47.2401569,6.01954221
Le Jardin des Îles,CulturalSite,Éternoz,25330,47.00751,6.029552
Point de vue de la Fauconnière,Landform,Pontarlier,25300,46.8760641,6.36262893
Fonderie de cloches Ch. Obertino,CulturalSite,Labergement-Sainte-Marie,25160,46.7704571,6.2794429
La cascade de Vaux,Landform,Ornans,25580,47.108207,6.231073
Eglise Saint-Pierre de Boussières,CulturalSite,Boussières,25320,47.1569241,5.9039172
Galerie Charles Pouchon,CulturalSite,Mouthier-Haute-Pierre,25920,47.0397414,6.27420953
Point de vue du Moine,Landform,Mouthier-Haute-Pierre,25920,47.0294178,6.2687663
Atelier de confection de Cales à Diairi,CulturalSite,Montbéliard,25200,47.51829,6.78914365
Oratoire du pas de la Vierge,CulturalSite,Pontarlier,25300,46.90426,6.35218
Musée des Armées Lucien Roy,CulturalSite,Beure,25720,47.2070111,6.00483297
Fort du Mont-Bart,CulturalSite,Bavans,25550,47.4861423,6.76239269
Sauge Artisans du bois,CulturalSite,Montlebon,25500,47.01798,6.61387
Pierre de la dîme,CulturalSite,Mouthe,25240,46.7107332,6.19473356
Moulin de la Doue,CulturalSite,Abbévillers,25310,47.4074054,6.9159184
Chapelle des Anges,CulturalSite,Maîche,25120,47.2477993,6.7982369
Musée de la Cave de la Ville Haute,CulturalSite,Pays-de-Clerval,25340,47.393091,6.49695396
Porte Saint-Pierre,CulturalSite,Pontarlier,25300,46.9045363,6.35282579
Chapelle Notre-Dame des Anges,CulturalSite,Ouhans,25520,46.99856,6.2938
Médiathèque Jean Grosjean,CulturalSite,Baume-les-Dames,25110,47.3517917,6.36121809
Le Hameau du Fromage,CulturalSite,Cléron,25330,47.0797375,6.05325222
Ferme-Musée Grand'Combe-Châteleu,CulturalSite,Grand'Combe-Châteleu,25570,47.0301895,6.5734261
Belvédère Les Rochers du Bourbet,Landform,Les Bréseux,25120,47.2828158,6.78454602
Quentin baumlin céramique,CulturalSite,Cléron,25330,47.0871687,6.05664009
Musée la Maison Vigneronne d'Autrefois,CulturalSite,Rougemont,25680,47.4770139,6.35361671
Marcus et Gisèle,CulturalSite,Besançon,25000,47.2347813,6.02122807
Rochers du Cerf,Landform,Montbenoît,25650,46.980165,6.50736199
La Boutique des Créateurs,CulturalSite,Besançon,25000,47.2381899,6.02187202
Croix de pierre,CulturalSite,La Planée,25160,46.8409961,6.28237724
Jardin à la française du château de Jallerange,CulturalSite,Jallerange,25170,47.2535686,5.71830751
Chapelle Saint-Lazare,CulturalSite,Vuillecin,25300,46.93885,6.32162
Gouffre de Poudrey,Landform,Étalans,25580,47.1670762,6.24555587
Observatoire Ornithologique,Landform,La Rivière-Drugeon,25560,46.864962,6.21530299
Grotte de la Tante Airie,Landform,Pierrefontaine-lès-Blamont,25310,47.37524,6.84029
Le Défilé d'Entre-Roches et la grotte du Trésor,Landform,Les Combes,25500,47.0491666,6.58083333
Le puits de la Brême,Landform,Scey-Maisières,25290,47.1190483,6.11987481
Les savoirs-faire en mécanique horlogère et mécanique d’art inscrits à l’UNESCO,CulturalSite,Besançon,25000,47.2378874,6.0240133
Atelier de Sérigraphie,CulturalSite,Pontarlier,25300,46.9038488,6.3562172
Manufacture horlogère Vuillemin,CulturalSite,Franois,25770,47.227974,5.93433843
Les Prés d'Haut,Landform,Châtelblanc,25240,46.67591,6.1109
Belvédère du Fer à Cheval,Landform,La Cluse-et-Mijoux,25300,46.8758294,6.37773513
Belvédère le Saut de Gamache,Landform,Grosbois,25110,47.343722,6.319885
Anaïs vincent maroquinerie artisanale,CulturalSite,Arc-et-Senans,25610,47.0369529,5.822173
L'Observatoire de Besançon,CulturalSite,Besançon,25000,47.2475689,5.9906982
Le Pont Sarrazin,Landform,Vandoncourt,25230,47.4571496,6.91393794
Les Lumières Du Druide,CulturalSite,Montferrand-le-Château,25320,47.1795553,5.9036133
ENS - Pelouse de la Chaux,Landform,Étrabonne,25170,47.2330498,5.74235277
Église Saint-Bénigne,CulturalSite,Arc-et-Senans,25610,47.0367456,5.78882932
Belvédère de la Roche,Landform,Villers-sous-Chalamont,25270,46.8870239,6.04656788
Couvent des Ursulines,CulturalSite,Saint-Hippolyte,25190,47.318337,6.812392
Château médiéval de Montfaucon,CulturalSite,Montfaucon,25660,47.2461126,6.0784039
Musée d'Armes Anciennes,CulturalSite,La Cluse-et-Mijoux,25300,46.8728,6.3794
Belvédère du Peu,Landform,Laviron,25510,47.25631,6.55206
