Nom,Insee,cp,arr,Canton,epci,pop,long,lat,alti,surf
Ahuy,21003,21121,2,Fontaine-lès-Dijon,Dijon Métropole,1695,47.36917,5.02139,290,6.50
Aiserey,21005,21110,2,Genlis,CC de la Plaine Dijonnaise,1489,47.17278,5.16278,197,10.47
Arc-sur-Tille,21021,21560,2,Saint-Apollinaire,CC Norge et Tille,2590,47.34417,5.19028,220,22.81
Arnay-le-Duc,21023,21230,1,Arnay-le-Duc,CC du Pays Arnay Liernais,1355,47.13250,4.49000,360,12.05
Asnières-lès-Dijon,21027,21380,2,Fontaine-lès-Dijon,CC Norge et Tille,1320,47.38611,5.04389,330,4.58
Auxonne,21038,21130,2,Auxonne,CC Auxonne Pontailler Val de Saône,7592,47.19417,5.38833,185,40.50
Beaune,21054,21200,1,Beaune,CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay,20233,47.02417,4.84028,220,31.15
Belleneuve,21060,21310,2,Saint-Apollinaire,CC Mirebellois et Fontenois,1575,47.35472,5.28139,200,14.65
Bligny-lès-Beaune,21086,21200,1,Ladoix-Serrigny,CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay,1273,46.98306,4.82639,215,7.26
Brazey-en-Plaine,21103,21470,1,Brazey-en-Plaine,CC Rives de Saône,2425,47.13500,5.21694,184,25.51
Bressey-sur-Tille,21105,21560,2,Chevigny-Saint-Sauveur,Dijon Métropole,1110,47.31000,5.18194,212,7.38
Châtillon-sur-Seine,21154,21400,3,Châtillon-sur-Seine,CC du Pays Châtillonnais,5404,47.85917,4.57444,230,33.27
Chenôve,21166,21300,2,Chenôve,Dijon Métropole,14299,47.29611,5.01444,280,7.57
Chevigny-Saint-Sauveur,21171,21800,2,Chevigny-Saint-Sauveur,Dijon Métropole,10895,47.30222,5.13556,215,11.99
Collonges et Premières,21183,21110,2,Genlis,CC de la Plaine Dijonnaise,1067,47.22528,5.26722,195,9.36
Couchey,21200,21160,1,Longvic,CC de Gevrey-Chambertin et de Nuits-Saint-Georges,1108,47.26028,4.97944,290,12.60
Couternon,21209,21560,2,Saint-Apollinaire,CC Norge et Tille,1903,47.33417,5.15111,217,6.92
Daix,21223,21121,2,Fontaine-lès-Dijon,Dijon Métropole,1520,47.35278,4.99861,340,11.78
Dijon [4],21231,21000,2,Dijon,Dijon Métropole,159941,47.32250,5.03556,245,41.50
Fénay,21263,21600,2,Longvic,Dijon Métropole,1724,47.23306,5.06361,230,10.54
Fleurey-sur-Ouche,21273,21410,2,Talant,CC Ouche et Montagne,1498,47.31139,4.85917,280,30.24
Fontaine-lès-Dijon,21278,21121,2,Fontaine-lès-Dijon,Dijon Métropole,9032,47.34444,5.01917,300,4.43
Genlis,21292,21110,2,Genlis,CC de la Plaine Dijonnaise,5125,47.24139,5.22056,199,12.20
Gevrey-Chambertin,21295,21220,1,Longvic,CC de Gevrey-Chambertin et de Nuits-Saint-Georges,2983,47.22583,4.96861,280,25.07
Hauteville-lès-Dijon,21315,21121,2,Fontaine-lès-Dijon,Dijon Métropole,1206,47.36500,4.99500,390,9.01
Is-sur-Tille,21317,21120,2,Is-sur-Tille,CC des Vallées de la Tille et de l'Ignon,4308,47.52361,5.11278,280,22.48
Labergement-lès-Seurre,21332,21820,1,Brazey-en-Plaine,CC Rives de Saône,1012,46.99472,5.09194,200,28.98
Ladoix-Serrigny,21606,21550,1,Ladoix-Serrigny,CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay,1783,47.06528,4.88833,215,24.79
Lamarche-sur-Saône,21337,21760,2,Auxonne,CC Auxonne Pontailler Val de Saône,1375,47.27000,5.38556,190,33.82
Longchamp,21351,21110,2,Genlis,CC de la Plaine Dijonnaise,1168,47.26000,5.28806,205,16.40
Longeault-Pluvault,21352,21110,2,Genlis,CC de la Plaine Dijonnaise,1154,47.21944,5.25167,195,1.23
Longecourt-en-Plaine,21353,21110,2,Genlis,CC de la Plaine Dijonnaise,1185,47.20000,5.15056,202,9.98
Longvic,21355,21600,2,Longvic,Dijon Métropole,8787,47.28500,5.06306,226,10.41
Losne,21356,21170,1,Brazey-en-Plaine,CC Rives de Saône,1712,47.09861,5.26389,180,22.78
Marcilly-sur-Tille,21383,21120,2,Is-sur-Tille,CC des Vallées de la Tille et de l'Ignon,1734,47.51944,5.13278,280,7.18
Marsannay-la-Côte,21390,21160,2,Chenôve,Dijon Métropole,5440,47.26889,4.98944,271,12.76
Messigny-et-Vantoux,21408,21380,2,Fontaine-lès-Dijon,CC Forêts, Seine et Suzon,1694,47.40639,5.01778,310,33.98
Meursault,21412,21190,1,Ladoix-Serrigny,CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay,1376,46.97583,4.77389,240,16.14
Mirebeau-sur-Bèze,21416,21310,2,Saint-Apollinaire,CC Mirebellois et Fontenois,1937,47.39917,5.31833,200,22.23
Montbard,21425,21500,3,Montbard,CC du Montbardois,4751,47.62583,4.34139,211,46.35
Neuilly-Crimolois,21452,21800,2,Chevigny-Saint-Sauveur,Dijon Métropole,3430,47.28083,5.10583,225,4.58
Noiron-sous-Gevrey,21458,21910,1,Nuits-Saint-Georges,CC de Gevrey-Chambertin et de Nuits-Saint-Georges,1143,47.19444,5.07889,210,6.59
Nolay,21461,21340,1,Arnay-le-Duc,CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay,1419,46.95056,4.63528,330,14.44
Nuits-Saint-Georges,21464,21700,1,Nuits-Saint-Georges,CC de Gevrey-Chambertin et de Nuits-Saint-Georges,5263,47.13722,4.95111,244,20.41
Ouges,21473,21600,2,Longvic,Dijon Métropole,1505,47.26194,5.07583,220,12.21
Perrigny-lès-Dijon,21481,21160,2,Longvic,Dijon Métropole,2321,47.26556,5.00611,253,6.76
