ville1,ville2,distance
1,7,7.655373105649298
1,20,8.97247575657329
1,28,7.097237886515019
6,8,3.749666062074846
6,9,5.3792373911687505
6,11,9.304746295548915
6,13,5.544585733652899
6,14,4.101112272741499
6,18,3.5085000676747846
6,19,7.021343474812145
6,21,8.728699519465055
6,25,9.709098454912318
6,27,4.561621757448322
7,13,8.284160666755632
7,16,4.066999334201116
7,20,2.688845427520222
7,21,6.784719169683774
7,25,3.927772682233048
7,28,5.32327941810012
8,9,3.037676011811254
8,13,5.157822836950248
8,14,7.84625458508125
8,16,9.074962003327803
8,18,7.106593814814709
8,19,7.5131887191178715
8,20,8.872298438650516
8,21,5.459541834766769
8,25,8.08001873822413
8,27,3.847297992721833
9,13,8.195424796730645
9,14,8.998028944366807
9,18,8.857369236711774
9,19,5.382234985478172
9,21,7.22933389706746
9,27,1.975643232215942
11,14,5.302594062728126
11,18,6.062717115019473
13,14,8.37840625387446
13,16,4.778180976625038
13,18,6.688636544835429
13,20,6.663055758122489
13,21,5.865376282353426
13,25,4.367075678067106
13,27,8.683251088989199
14,18,1.8899658836836628
14,19,8.353596157260165
14,27,7.580657911799579
16,20,3.9193863994048983
16,21,6.38709422004412
16,25,1.3436241493595376
16,28,7.9452365883776315
18,19,9.327118552801231
18,27,7.788838663995067
19,27,3.7074792123348796
20,21,4.096144239370764
20,25,2.9261452421729985
20,28,4.030009227253822
21,25,5.045681515397357
21,27,8.867063653164637
21,28,5.118050407457284
25,28,6.921156115626006
30,32,8.054603355353358
30,36,7.705469099213283
30,42,4.194206083986483
30,43,2.5635069344278123
30,44,8.056969533479522
30,47,5.63853171543334
30,48,5.895885287226376
30,53,4.800424351732346
30,54,7.73060723461103
30,56,5.95030947553931
30,70,2.7376483362826325
30,71,4.429552884696152
30,75,1.4461505961746344
30,76,5.124978098252306
30,78,7.480822631586586
30,192,9.726984869021614
30,194,8.975018754173233
31,35,8.23224104799763
31,39,8.749287023840806
31,41,7.865160714572003
31,46,5.8206305434087175
31,55,9.011936415546723
31,57,5.2920506411997446
31,62,6.758960209232801
31,65,6.978057974990933
32,34,4.703785776485682
32,36,5.633138391228464
32,43,7.615292224917302
32,47,7.068283244929572
32,53,6.061052212025643
32,54,6.363597900685258
32,56,3.8809931675760767
32,71,7.15170719802468
32,75,7.5286619555248855
32,76,8.422491727583022
32,78,2.034168171867291
32,117,9.083394176006854
34,36,9.715432487126469
34,53,9.24957108609082
34,54,7.962747472168426
34,56,8.469225894066653
34,78,5.05275245709906
35,38,7.232325613587592
35,41,5.734650231451126
35,50,8.582184752617865
35,55,7.482340783104832
35,62,6.857052763611164
35,72,7.48696914521855
36,42,7.637979285902603
36,43,5.608111616121374
36,47,2.859597642066299
36,53,9.104554739362635
36,56,2.4552632336337727
36,71,3.8705997575252953
36,75,8.213487651360722
36,76,4.492186091384555
36,78,7.162039931836285
36,117,6.559946975527954
36,194,6.123995387010823
37,52,4.906462568956188
38,41,4.952033239249359
38,50,3.901035950296535
38,55,4.909738260876624
38,62,6.674449148047738
38,65,9.702269741806559
38,72,8.602780749909943
39,46,3.9014250332444975
39,57,6.390439805132681
39,62,9.4521189803866
39,65,6.143065059450141
40,64,2.594917699420764
40,73,9.818659673799754
41,46,7.526769134004714
41,50,3.4618511026803755
41,55,1.8082450520206668
41,62,1.8511564371187548
41,65,5.301827021542732
42,43,2.952099852039376
42,44,4.112654987498822
42,47,4.789732265579996
42,48,7.435963176475693
42,53,8.903298940537974
42,56,7.148225561456675
42,70,5.076554664840795
42,71,3.8487496737428923
42,75,5.640142964903249
42,76,3.248796370751965
42,192,7.387092100309876
42,194,5.798862021511911
43,44,7.04364891495468
43,47,3.174936121657577
43,48,7.975908894495349
43,53,6.461433115411335
43,54,9.232155152400265
43,56,4.46503217007136
43,70,4.911910268023922
43,71,1.937114359119339
43,75,3.7263222952811375
43,76,2.579776675615117
43,78,7.712096682140277
43,194,6.503569691976583
44,47,8.097471694835018
44,48,9.071799121441222
44,70,7.940900741442745
44,71,7.516902206796452
44,75,9.472571205313017
44,76,6.45627343805717
44,192,5.033056333866426
44,194,6.569334706399801
44,200,8.877625461676518
45,58,4.693625765990364
45,59,3.7780631173250927
45,77,4.893656930848689
46,50,9.137577852694367
46,55,7.4313446389596445
46,57,6.175961018589559
46,62,5.67970989901342
46,65,2.8333679657729727
47,53,8.438878812396505
47,56,3.189886959069146
47,70,8.086325678577765
47,71,1.2384971945733925
47,75,6.536852809460506
47,76,1.650743777713993
47,78,7.986941312858549
47,117,9.242988054125115
47,194,4.538985743785851
48,53,8.397175329367178
48,70,3.1604821566149193
48,71,9.89218474442551
48,75,6.014849558222828
48,192,7.290386373143702
50,55,2.0124819037554267
50,62,4.2836771936064615
50,65,6.362403024070481
53,54,2.932358011162201
53,56,6.6661051626398775
53,63,8.313192319721662
53,70,6.0988307051958515
53,71,7.595502784633327
53,75,3.426274559996372
53,76,8.78076394211273
53,78,4.4207212772331195
54,56,8.423307252172977
54,63,5.893614170603252
54,70,8.873247261567293
54,75,6.3555680678248665
54,78,4.333380128083379
55,62,2.2720789133056427
55,65,4.796245028642295
56,70,8.687894219663
56,71,3.433452369472513
56,75,6.148968757872124
56,76,4.618462435270045
56,78,4.988544768482434
56,117,8.374968630019804
56,194,7.580305166258051
57,65,8.812404968803289
58,59,2.340524714456397
58,77,6.779324699251966
59,77,7.516240838805762
62,65,3.5190534292549214
63,78,9.88070927638719
66,69,5.690129979583706
66,72,3.85660141387337
69,72,7.770027044595755
70,71,6.847928243884554
70,75,3.0834396644614874
70,76,7.221262051020833
70,78,9.709207755167624
70,192,8.096336927899118
71,75,5.40649933298466
71,76,1.332376340178059
71,78,7.758928427329775
71,194,5.138067540292359
75,76,6.296829242857781
75,78,6.630207772423618
76,78,9.088460985971587
76,194,3.9703661676583564
